age,1940,1950,1970,1980,1990,2000,2010,2020
2,,1,,,,,,
3,,,,9,,1,1,
4,1,11,6,157,34,28,23,
5,12,50,34,327,189,114,109,16
6,34,104,134,586,296,194,181,34
7,67,86,174,424,250,183,196,37
8,80,71,133,269,161,158,154,44
9,134,65,48,144,40,53,135,13
10,84,26,11,42,18,15,139,11
11,37,14,1,4,4,7,103,5
12,15,7,,2,2,4,105,5
13,4,5,,,,,66,9
14,1,1,,,1,,51,3
15,1,2,,,,,32,10
16,3,,,,,,23,3
17,2,,,,,,6,3
18,,1,,,,,9,9
19,,,,,,,2,6
20,,,,,,,,1
21,,,,,,,,1
22,,,,,,,1,1
23,,,,,,,,
24,2,,,,,,,1
25,,,,,,,,
26,,,,,,,1,1
