year,age,catch
1984,5,5
1984,6,10
1984,7,13
1984,8,28
1984,9,2
1984,10,13
1984,11,19
1984,12,17
1984,13,2
1984,14,2
1984,15,0
1995,2,11
1995,3,11
1995,4,11
1995,5,12
1995,6,17
1995,7,17
1995,8,45
1995,9,59
1995,10,52
1995,11,4
1995,12,1
1995,13,1
1995,14,1
1995,15,0
2018,6,6
2018,7,9
2018,8,74
2018,9,56
2018,10,29
2018,11,16
2018,12,6
2018,13,2
2018,14,1
2018,15,0
2018,16,0
2018,17,1
2019,6,2
2019,7,37
2019,8,42
2019,9,76
2019,10,28
2019,11,8
2019,12,1
2019,13,1
2019,14,0
2019,15,0
2020,5,2
2020,6,8
2020,7,34
2020,8,49
2020,9,59
2020,10,30
2020,11,7
2020,12,4
2020,13,4
2020,14,2
2020,15,0
2020,16,1
2021,5,1
2021,6,2
2021,7,49
2021,8,35
2021,9,71
2021,10,15
2021,11,18
2021,12,7
2021,13,1
2021,14,0
2021,15,0
2021,16,0
2021,17,1
2022,6,1
2022,7,19
2022,8,94
2022,9,17
2022,10,49
2022,11,4
2022,12,5
2022,13,3
2022,14,1
2022,15,0
2023,6,1
2023,7,10
2023,8,75
2023,9,85
2023,10,13
2023,11,13
2023,12,2
2023,13,1
2023,14,0
2023,15,0
