year,age,catch
1947,1,0
1947,2,0
1947,3,1
1947,4,0
1947,5,11
1947,6,26
1947,7,0
1947,8,26
1947,9,41
1947,10,0
1947,11,79
1947,12,41
1947,13,0
1947,14,21
1947,15,11
1947,16,0
1947,17,3
1947,18,1
1947,19,1
1947,20,0
1947,21,3
1947,22,2
1947,23,0
1947,24,0
1947,25,0
1947,26,0
1948,1,0
1948,2,0
1948,3,0
1948,4,0
1948,5,1
1948,6,8
1948,7,0
1948,8,41
1948,9,39
1948,10,0
1948,11,55
1948,12,43
1948,13,0
1948,14,16
1948,15,4
1948,16,0
1948,17,1
1948,18,0
1948,19,0
1948,20,0
1948,21,0
1948,22,0
1948,23,0
1948,24,0
1948,25,0
1948,26,0
1955,1,0
1955,2,0
1955,3,3
1955,4,0
1955,5,7
1955,6,11
1955,7,0
1955,8,17
1955,9,24
1955,10,0
1955,11,14
1955,12,7
1955,13,0
1955,14,1
1955,15,1
1955,16,0
1955,17,2
1955,18,0
1955,19,2
1955,20,0
1955,21,0
1955,22,0
1955,23,0
1955,24,1
1955,25,0
1955,26,0
1956,1,1
1956,2,0
1956,3,8
1956,4,0
1956,5,43
1956,6,93
1956,7,0
1956,8,69
1956,9,47
1956,10,0
1956,11,51
1956,12,19
1956,13,0
1956,14,13
1956,15,6
1956,16,0
1956,17,3
1956,18,1
1956,19,0
1956,20,0
1956,21,0
1956,22,0
1956,23,0
1956,24,0
1956,25,0
1956,26,0
1976,1,0
1976,2,0
1976,3,6
1976,4,0
1976,5,14
1976,6,19
1976,7,0
1976,8,48
1976,9,38
1976,10,0
1976,11,16
1976,12,3
1976,13,0
1976,14,0
1976,15,0
1976,16,0
1976,17,0
1976,18,0
1976,19,0
1976,20,0
1976,21,0
1976,22,0
1976,23,0
1976,24,0
1976,25,0
1976,26,0
1977,1,0
1977,2,0
1977,3,0
1977,4,0
1977,5,1
1977,6,8
1977,7,0
1977,8,2
1977,9,11
1977,10,0
1977,11,5
1977,12,2
1977,13,0
1977,14,0
1977,15,0
1977,16,0
1977,17,0
1977,18,0
1977,19,0
1977,20,0
1977,21,0
1977,22,0
1977,23,0
1977,24,0
1977,25,0
1977,26,0
1978,1,0
1978,2,0
1978,3,0
1978,4,0
1978,5,15
1978,6,65
1978,7,0
1978,8,76
1978,9,19
1978,10,0
1978,11,9
1978,12,4
1978,13,0
1978,14,0
1978,15,0
1978,16,0
1978,17,0
1978,18,0
1978,19,0
1978,20,0
1978,21,0
1978,22,0
1978,23,0
1978,24,0
1978,25,0
1978,26,0
1979,1,0
1979,2,0
1979,3,0
1979,4,0
1979,5,4
1979,6,42
1979,7,0
1979,8,48
1979,9,65
1979,10,0
1979,11,18
1979,12,2
1979,13,0
1979,14,1
1979,15,0
1979,16,0
1979,17,0
1979,18,0
1979,19,0
1979,20,0
1979,21,0
1979,22,0
1979,23,0
1979,24,0
1979,25,0
1979,26,0
1980,1,0
1980,2,0
1980,3,3
1980,4,0
1980,5,13
1980,6,35
1980,7,0
1980,8,74
1980,9,62
1980,10,0
1980,11,48
1980,12,9
1980,13,0
1980,14,1
1980,15,0
1980,16,0
1980,17,0
1980,18,0
1980,19,0
1980,20,0
1980,21,0
1980,22,0
1980,23,0
1980,24,0
1980,25,0
1980,26,0
1981,1,0
1981,2,0
1981,3,9
1981,4,0
1981,5,9
1981,6,40
1981,7,0
1981,8,43
1981,9,67
1981,10,0
1981,11,31
1981,12,10
1981,13,0
1981,14,1
1981,15,1
1981,16,0
1981,17,0
1981,18,0
1981,19,0
1981,20,0
1981,21,0
1981,22,0
1981,23,0
1981,24,0
1981,25,0
1981,26,0
1982,1,0
1982,2,7
1982,3,2
1982,4,0
1982,5,26
1982,6,9
1982,7,0
1982,8,11
1982,9,16
1982,10,0
1982,11,16
1982,12,9
1982,13,0
1982,14,1
1982,15,1
1982,16,0
1982,17,0
1982,18,0
1982,19,0
1982,20,0
1982,21,0
1982,22,0
1982,23,0
1982,24,0
1982,25,0
1982,26,0
1983,1,0
1983,2,1
1983,3,127
1983,4,0
1983,5,18
1983,6,45
1983,7,0
1983,8,7
1983,9,8
1983,10,0
1983,11,2
1983,12,3
1983,13,0
1983,14,0
1983,15,0
1983,16,0
1983,17,0
1983,18,0
1983,19,0
1983,20,0
1983,21,0
1983,22,0
1983,23,0
1983,24,0
1983,25,0
1983,26,0
1984,1,0
1984,2,0
1984,3,1
1984,4,0
1984,5,158
1984,6,14
1984,7,0
1984,8,13
1984,9,3
1984,10,0
1984,11,0
1984,12,1
1984,13,0
1984,14,0
1984,15,0
1984,16,0
1984,17,0
1984,18,0
1984,19,0
